nom,age,nationalite,club,valeur,salaire,rupture,attaque/defense,pied
A. Richards,27,United Kingdom,Cardiff City,875,19,1800.0,Medium/ Medium,Right
S. Dursun,26,Germany,SV Darmstadt 98,1300,11,2100.0,Medium/ Low,Right
R. Leipertz,25,Germany,FC Ingolstadt 04,1300,12,2200.0,High/ Medium,Left
R. Pasveer,34,Netherlands,Vitesse,425,5,638.0,Medium/ Medium,Right
D. Daube,28,Germany,KFC Uerdingen 05,1000,5,1500.0,Medium/ Medium,Right
Iñaki Astiz,34,Spain,Legia Warszawa,325,5,455.0,Low/ Medium,Right
S. Bigalke,28,Germany,SpVgg Unterhaching,1100,4,1600.0,Medium/ Medium,Right
M. Silvestri,27,Italy,Hellas Verona,700,2,1100.0,Medium/ Medium,Right
S. Muwashar,29,Saudi Arabia,Al Ahli,1000,18,1700.0,High/ Medium,Right
A. Powell,23,Jamaica,Portland Timbers,1200,3,1800.0,High/ Medium,Right
P. Kirkevold,27,Norway,Hobro IK,1100,6,1400.0,High/ High,Left
S. Roudet,37,France,Valenciennes FC,350,3,613.0,High/ Medium,Left
S. Gonther,31,Germany,SG Dynamo Dresden,700,9,1100.0,Medium/ Medium,Right
I. Ghaleb,27,Saudi Arabia,Al Nassr,875,15,1500.0,Medium/ High,Right
P. Sotiriou,25,Cyprus,FC København,1400,10,1900.0,High/ High,Right
W. Faes,20,Belgium,KV Oostende,1500,5,2500.0,Medium/ Medium,Right
S. Tecl,27,Czech Republic,SK Slavia Praha,1100,1,2500.0,High/ Medium,Right
M. Guanini,22,Argentina,Gimnasia y Esgrima La Plata,1300,6,2300.0,Medium/ Medium,Right
J. Brix-Damborg,32,Denmark,Hobro IK,600,5,750.0,Medium/ High,Right
M. de los Santos,25,Uruguay,Millonarios FC,1100,2,1600.0,Medium/ High,Right
F. Andrada,24,Argentina,Unión de Santa Fe,1500,7,2500.0,High/ Medium,Right
Z. Youssouf,18,France,FC Girondins de Bordeaux,1700,8,3600.0,Medium/ Medium,Left
S. Ciss,29,Senegal,Angers SCO,800,10,1600.0,High/ Medium,Left
S. Mockenhaupt,26,Germany,SV Wehen Wiesbaden,1100,4,1600.0,Medium/ Medium,Right
N. Cozza,19,France,Montpellier HSC,2000,5,5300.0,Medium/ Medium,Left
M. Valoti,24,Italy,SPAL,1300,2,,Medium/ Medium,Right
Y. Salmier,25,France,ESTAC Troyes,1100,8,,Medium/ Medium,Right
C. Benschop,28,Curacao,FC Ingolstadt 04,1100,14,1700.0,High/ High,Right
Gégé,30,Cape Verde,Al Fayha,775,9,1300.0,Medium/ Medium,Right
L. Morosini,22,Italy,Brescia,1400,2,2500.0,Medium/ Medium,Right
Sandeiro Leal,30,Brazil,Paraná,1000,10,1900.0,Medium/ Medium,Right
M. Pongračić,20,Croatia,FC Red Bull Salzburg,1800,10,3800.0,Medium/ Medium,Right
L. Ibáñez,29,Argentina,Trabzonspor,800,13,1600.0,High/ Medium,Left
M. O'Halloran,27,United Kingdom,Melbourne City FC,1100,7,1400.0,High/ Medium,Right
M. van Duinen,26,Netherlands,PEC Zwolle,1300,6,1900.0,High/ High,Right
R. Zwinkels,35,Netherlands,ADO Den Haag,250,2,375.0,Medium/ Medium,Right
F. Mazzeo,34,Italy,Foggia,550,2,880.0,High/ Low,Left
C. Auzqui,27,Argentina,Club Atlético Huracán,1100,11,,High/ Low,Right
J. Quintero,23,Colombia,Deportivo Cali,1400,1,2200.0,Low/ Medium,Right
B. Watson,32,United Kingdom,Nottingham Forest,600,20,1100.0,Low/ High,Right
Gustavo Cascardo,21,Brazil,Vitória de Setúbal,1300,2,2900.0,High/ Medium,Right
T. Bradshaw,25,United Kingdom,Millwall,1300,7,,High/ Medium,Right
J. Pelupessy,25,Netherlands,Sheffield Wednesday,1100,12,2300.0,Medium/ Medium,Right
J. Fojut,30,Poland,Pogoń Szczecin,775,3,1000.0,Medium/ Medium,Right
M. Brighi,37,Italy,Empoli,325,5,585.0,Medium/ High,Right
L. Boussaha,30,France,Grenoble Foot 38,1000,4,1800.0,Medium/ Low,Right
D. Bomheuer,27,Germany,MSV Duisburg,1000,4,1700.0,Medium/ Medium,Right
B. Sangaré,32,Ivory Coast,,0,0,,Medium/ Medium,Right
Y. Cabral,26,Argentina,Atlético Tucumán,1200,9,,Medium/ Medium,Right
S. Breitkreuz,26,Germany,FC Erzgebirge Aue,1100,4,1800.0,Medium/ Medium,Right
K. Rowe,26,United States of America,New England Revolution,1200,4,1900.0,High/ High,Right
Roldão Riso,26,Brazil,Grêmio,925,12,1700.0,Medium/ Medium,Right
C. Rizzuto,26,Germany,FC Erzgebirge Aue,1000,4,1700.0,High/ Medium,Right
D. van Mieghem,28,Netherlands,De Graafschap,1100,5,1500.0,Medium/ Medium,Left
A. El Messaoudi,22,Morocco,Fortuna Sittard,1200,4,1800.0,Medium/ Medium,Right
Y. Cabrera,27,Colombia,América de Cali,1100,1,1500.0,Medium/ Low,Left
S. Ay,26,Turkey,Atiker Konyaspor,1100,8,2300.0,Medium/ High,Right
A. Gojak,21,Bosnia Herzegovina,Dinamo Zagreb,1600,1,3900.0,Medium/ Medium,Right
L. Gülen,24,Switzerland,Kayserispor,1200,6,2400.0,Medium/ High,Right
N. Eliasson,22,Sweden,Bristol City,1600,17,3400.0,Medium/ Low,Left
Y. Komai,26,Japan,Hokkaido Consadole Sapporo,1200,3,1600.0,Medium/ Medium,Right
S. Marinos,30,Greece,Sporting de Charleroi,750,7,1100.0,High/ Medium,Right
D. Verhulst,30,Belgium,Sporting Lokeren,675,5,1000.0,Medium/ Medium,Right
Núrio,23,Angola,Sporting de Charleroi,1200,6,2100.0,High/ Medium,Left
S. Sparagna,23,France,Boavista FC,1200,4,2800.0,Medium/ Medium,Right
H. Halldórsson,34,Iceland,,0,0,,Medium/ Medium,Right
M. Prietl,26,Austria,DSC Arminia Bielefeld,1100,7,1800.0,Medium/ High,Right
Nono,27,Spain,AD Alcorcón,1100,5,1800.0,Medium/ Medium,Right
J. Berget,27,Norway,New York City FC,1100,5,1700.0,High/ High,Right
M. Jacobs,26,United Kingdom,Wigan Athletic,1100,24,2100.0,High/ Medium,Right
J. Brillante,25,Australia,Sydney FC,1200,4,1600.0,Medium/ High,Right
P. van Anholt,27,Netherlands,NAC Breda,875,5,1300.0,Medium/ Medium,Right
P. Ziereis,25,Germany,FC St. Pauli,1100,8,1900.0,Medium/ High,Right
R. Bezjak,29,Slovenia,Jagiellonia Białystok,1100,6,1400.0,Medium/ Medium,Right
A. Vega,20,Mexico,Deportivo Toluca,2300,9,5400.0,Medium/ Low,Right
S. Bentivoglio,33,Italy,Venezia FC,625,3,969.0,Medium/ Medium,Right
Juan Muñoz,22,Spain,AD Alcorcón,1400,5,2400.0,Medium/ Low,Right
Linares,35,Spain,CF Reus Deportiu,475,4,736.0,Medium/ High,Right
S. De Petter,32,Belgium,Sint-Truidense VV,600,6,900.0,Medium/ Medium,Left
Renatao Baumer,34,Brazil,Vitória,300,6,570.0,High/ Medium,Left
A. Ivan,21,Romania,SK Rapid Wien,1500,7,2500.0,High/ Low,Right
I. Šunjić,21,Croatia,Dinamo Zagreb,1300,1,3100.0,Medium/ Medium,Right
S. Andrist,30,Switzerland,SV Wehen Wiesbaden,1000,5,1500.0,Medium/ Low,Right
Q. Cornette,24,France,Amiens SC,1300,8,2800.0,Medium/ Medium,Right
Carvamelinho,34,Brazil,Grêmio,300,12,540.0,High/ Medium,Right
R. Oudin,21,France,Stade de Reims,1500,7,3300.0,Medium/ Medium,Left
C. Stengs,19,Netherlands,AZ Alkmaar,2300,4,4800.0,Medium/ Medium,Left
I. González,33,Mexico,Club León,425,12,723.0,Medium/ High,Left
S. Dallas,27,Northern Ireland,Leeds United,1100,19,2100.0,High/ High,Right
S. Walsh,23,Netherlands,SV Zulte-Waregem,1200,6,1900.0,High/ High,Right
U. Radaković,24,Republic of Serbia,Sparta Praha,1200,1,2900.0,Low/ High,Right
P. Schobesberger,24,Austria,SK Rapid Wien,1300,9,2000.0,High/ Medium,Right
Jaimosa Cavaco,30,Brazil,Vitória,750,6,1400.0,Low/ Medium,Right
M. Turner,24,United States of America,New England Revolution,1200,3,1900.0,Medium/ Medium,Right
Alfaro,31,Spain,Córdoba CF,925,5,1400.0,Medium/ Medium,Right
M. Havel,23,Czech Republic,Viktoria Plzeň,1200,1,3000.0,Medium/ Medium,Right
J. Hegeler,30,Germany,Bristol City,775,18,1500.0,Low/ Medium,Right
M. Fares,22,Algeria,SPAL,1500,2,,High/ High,Left
C. Techera,26,Uruguay,Vancouver Whitecaps FC,1200,4,1900.0,High/ Low,Left
F. Tomori,20,United Kingdom,Derby County,1600,13,3400.0,Medium/ Medium,Right
H. Takahashi,30,Japan,Sagan Tosu,775,3,969.0,Medium/ Medium,Right
A. Rivas,33,Colombia,América de Cali,425,1,574.0,Medium/ Medium,Right
J. Mosquera,28,Colombia,Deportivo Cali,1100,2,1500.0,High/ Low,Left
A. Linde,24,Sweden,Molde FK,1000,3,1300.0,Medium/ Medium,Right
C. Bonilla,25,Colombia,Al Fayha,925,7,1600.0,Medium/ Medium,Right
Diego Capel,30,Spain,Extremadura UD,1000,4,1600.0,High/ Medium,Left
Leandrinho,24,Brazil,Rio Ave FC,1400,4,3100.0,Medium/ Medium,Right
Susaeta,33,Spain,Albacete BP,625,5,1000.0,Medium/ Medium,Right
M. Zimmermann,26,Germany,Fortuna Düsseldorf,1100,12,2000.0,Low/ High,Right
E. Demir,28,Sweden,SV Zulte-Waregem,825,7,1200.0,High/ Medium,Left
Marco Sangalli,26,Spain,AD Alcorcón,1200,5,2100.0,Medium/ Low,Right
T. Hayashi,35,Japan,Sanfrecce Hiroshima,250,3,313.0,Medium/ Medium,Right
R. Bormuth,22,Germany,Fortuna Düsseldorf,1300,11,2700.0,Low/ Medium,Right
E. Hernández,31,Mexico,Guadalajara,700,15,1200.0,Medium/ Medium,Left
B. Martella,25,Italy,Crotone,1100,2,1800.0,High/ Medium,Left
E. Oikonomou,30,Greece,Panathinaikos FC,775,1,1700.0,Medium/ High,Left
L. Choutesiotis,23,Greece,Olympiacos CFP,1100,1,2500.0,Medium/ Medium,Right
J. Blaswich,27,Germany,Heracles Almelo,925,3,1400.0,Medium/ Medium,Right
J. Huth,24,Germany,1. FSV Mainz 05,1200,8,2300.0,Medium/ Medium,Right
I. Sackey,24,Ghana,Alanyaspor,1300,6,2800.0,Medium/ High,Right
Jang Hyeon Soo,26,South Korea,FC Tokyo,1000,5,1400.0,Low/ High,Right
A. Rosati,35,Italy,Torino,250,9,425.0,Medium/ Medium,Right
J. Cabrera,26,Uruguay,Deportivo Toluca,1200,7,,Medium/ Low,Right
Anderson Lopes,24,Brazil,FC Seoul,1400,4,1900.0,Medium/ Medium,Left
N. Byrne,26,United Kingdom,Wigan Athletic,1100,22,2100.0,High/ Medium,Right
A. Trajkovski,25,FYR Macedonia,Palermo,1300,3,2200.0,Low/ Low,Right
Alex Geijo,36,Spain,Venezia FC,375,2,581.0,Medium/ Low,Right
Iván Sánchez,25,Spain,Elche CF,1200,4,2000.0,High/ Medium,Left
J. Carranza,37,Argentina,San Martin de Tucumán,70,3,102.0,Medium/ Medium,Right
E. Ocansey,20,Ghana,KAS Eupen,1600,5,2800.0,Medium/ Medium,Left
B. Uphoff,24,Germany,Karlsruher SC,1000,3,1500.0,Medium/ Medium,Right
Wu Xi,29,China,Jiangsu Suning FC,1000,10,2200.0,High/ High,Right
C. Skuse,32,United Kingdom,Ipswich Town,600,5,1100.0,Medium/ Medium,Right
E. Rexhbeçaj,20,Kosovo,VfL Wolfsburg,1800,14,3400.0,Medium/ Medium,Left
G. Åsen,27,Norway,Tromsø IL,1200,3,1600.0,High/ Medium,Left
M. Laba,26,Argentina,Estudiantes de La Plata,1100,7,1700.0,Medium/ High,Right
G. Carabajal,26,Argentina,Patronato,1100,7,1600.0,Medium/ Medium,Right
T. Fontaine,27,Madagascar,Stade de Reims,875,8,1800.0,Low/ Medium,Left
J. Villafaña,28,United States of America,Portland Timbers,825,4,1200.0,High/ Medium,Left
B. Tashchy,24,Ukraine,MSV Duisburg,1400,4,2300.0,Medium/ High,Right
J. Vaughan,29,United Kingdom,Wigan Athletic,1100,27,2000.0,High/ Medium,Right
J. Moya,25,Colombia,Independiente Santa Fe,1100,2,1700.0,Medium/ Medium,Right
N. Sangaré,24,Turkey,Antalyaspor,1200,7,2700.0,High/ Medium,Right
Kim Kwang Suk,35,South Korea,Pohang Steelers,250,3,313.0,Low/ High,Right
M. Rojas,26,New Zealand,SC Heerenveen,1100,5,1700.0,High/ Medium,Right
E. Taşkıran,28,Turkey,Atiker Konyaspor,875,7,1800.0,Medium/ Medium,Right
M. Gersbeck,23,Germany,Hertha BSC,1200,8,2200.0,Medium/ Medium,Left
U. Çiftçi,26,Turkey,Sivasspor,1100,7,2200.0,High/ Medium,Left
Lucas Galvão,27,Brazil,FC Ingolstadt 04,1100,11,1800.0,High/ Medium,Left
B. Riascos,23,Colombia,CD Nacional,1400,6,3100.0,Medium/ Low,Right
E. Saveljich,27,Montenegro,UD Almería,1100,10,,Medium/ Medium,Right
Tang Miao,27,China,Guangzhou R&F; FC,875,7,1900.0,Medium/ High,Right
J. Mees,22,Germany,1. FC Union Berlin,1600,14,2900.0,Medium/ Medium,Right
C. Cáceda,26,Peru,,0,0,,Medium/ Medium,Right
O. Fernández,25,Colombia,Puebla FC,1300,4,2300.0,High/ Medium,Right
Jeffrén,30,Venezuela,Grasshopper Club Zürich,1000,8,1500.0,Medium/ Low,Left
K. Manneh,23,United States of America,FC St. Gallen,1500,7,2400.0,High/ Medium,Right
G. Larsonneur,21,France,Stade Brestois 29,1400,2,2800.0,Medium/ Medium,Right
O. Kúdela,31,Czech Republic,SK Slavia Praha,700,1,1500.0,Medium/ High,Right
E. Bourgaud,30,France,Red Star FC,1000,4,1800.0,Medium/ Medium,Left
P. Huspek,27,Austria,SK Sturm Graz,1100,10,1600.0,High/ Medium,Right
G. Maluleka,29,South Africa,Kaizer Chiefs,1000,1,2200.0,Medium/ Medium,Right
T. Jurić,26,Australia,FC Luzern,1300,8,1900.0,Medium/ Low,Right
F. Scaglia,26,Italy,Cittadella,1100,2,1700.0,Low/ Medium,Right
David Rodríguez,32,Spain,CA Osasuna,850,6,1400.0,Medium/ Medium,Right
H. Kekana,33,South Africa,,0,0,,High/ High,Right
C. Dibon,27,Austria,SK Rapid Wien,1000,8,1600.0,Medium/ Medium,Right
R. Petretta,21,Italy,FC Basel 1893,2100,8,4400.0,Medium/ Medium,Left
M. Scozzarella,30,Italy,Parma,975,18,1800.0,High/ Medium,Right
M. Kaye,23,Canada,Los Angeles FC,1400,4,2400.0,Medium/ High,Left
Y. Toyokawa,23,Japan,KAS Eupen,1400,6,2200.0,Medium/ Low,Right
L. Bittante,24,Italy,Empoli,1000,6,1900.0,High/ Medium,Right
E. Velarde,32,Mexico,Monarcas Morelia,575,5,978.0,Medium/ Medium,Left
D. Jones,33,United Kingdom,Sheffield Wednesday,625,13,1200.0,Medium/ High,Left
M. Cahais,30,Argentina,San Martin de Tucumán,775,6,1100.0,Low/ High,Left
M. Olivera,20,Uruguay,Albacete BP,1400,7,,Medium/ Medium,Left
M. Sax,25,Austria,FK Austria Wien,1200,8,1900.0,Medium/ Medium,Right
A. Mühling,25,Germany,Holstein Kiel,1300,6,2100.0,High/ Medium,Right
P. Bråtveit,22,Norway,FK Haugesund,1100,2,1600.0,Medium/ Medium,Right
F. Píriz,28,Uruguay,Montpellier HSC,950,11,2000.0,Medium/ High,Right
Ricardo Lopes,27,Brazil,Jeonbuk Hyundai Motors,1100,6,1400.0,High/ Low,Left
P. Hamel,24,France,FC Lorient,1400,5,2600.0,Medium/ Medium,Right
K. Mączyński,31,Poland,Legia Warszawa,700,5,980.0,High/ Medium,Right
M. Hamdy,23,Egypt,,0,0,,Medium/ Medium,Right
R. Pröpper,24,Netherlands,Heracles Almelo,1200,3,1800.0,Medium/ Medium,Right
C. N'Doye,32,Senegal,Angers SCO,800,13,,Medium/ High,Right
Fernando Karanga,27,Brazil,Henan Jianye FC,1200,8,2700.0,Medium/ Low,Right
C. Carter-Vickers,20,United States of America,Swansea City,2100,21,,Medium/ High,Right
E. Cobbaut,20,Belgium,RSC Anderlecht,1500,6,2500.0,High/ High,Left
M. Dąbrowski,31,Poland,Zagłębie Lubin,700,4,945.0,High/ Medium,Right
F. Picault,27,United States of America,Philadelphia Union,1100,4,1700.0,High/ Medium,Right
R. Romo,28,Venezuela,,0,0,,Medium/ Medium,Right
A. Corzo,29,Peru,,0,0,,Medium/ Medium,Right
L. Dickmann,21,Italy,SPAL,1400,5,2800.0,High/ Medium,Right
Luis Pérez,23,Spain,CD Tenerife,1300,4,2400.0,High/ Medium,Right
A. Barkok,20,Germany,Fortuna Düsseldorf,1900,11,,Medium/ Medium,Right
M. Watkins,27,United Kingdom,Bristol City,1100,19,2100.0,Medium/ Medium,Right
H. Arslan,29,Turkey,Sivasspor,825,7,1700.0,Medium/ High,Right
A. Camargo,29,Argentina,CD Universidad de Concepción,1000,3,1400.0,Medium/ Medium,Right
F. Müller,20,Germany,1. FSV Mainz 05,1900,6,4600.0,Medium/ Medium,Left
B. Behrendt,26,Germany,DSC Arminia Bielefeld,1100,7,1800.0,Medium/ Medium,Right
L. Zingerle,24,Germany,SC Paderborn 07,1000,4,1600.0,Medium/ Medium,Right
Mei Fang,28,China,Guangzhou Evergrande Taobao FC,850,8,1900.0,Low/ High,Right
M. Svanberg,19,Sweden,Bologna,2300,7,5200.0,High/ Medium,Right
D. Bernhardt,32,Germany,VfR Aalen,600,1,870.0,Medium/ Medium,Right
K. D'Haene,28,Belgium,KV Kortrijk,825,7,1200.0,High/ Medium,Left
J. Malagón,25,Colombia,Patriotas Boyacá FC,1200,1,1900.0,Medium/ Medium,Right
Paulo Fajarda,26,Brazil,Cruzeiro,925,12,1800.0,Medium/ Medium,Right
Germán,31,Spain,Granada CF,700,5,1100.0,Medium/ High,Right
B. Idowu,26,Nigeria,Lokomotiv Moscow,1100,1,2300.0,High/ High,Right
B. Mkhwanazi,28,South Africa,,0,0,,Medium/ Medium,Right
Toché,35,Spain,Real Oviedo,475,5,760.0,High/ Medium,Right
Hélder Ferreira,21,Portugal,Vitória Guimarães,1500,4,3400.0,Medium/ Medium,Right
G. Mandjeck,29,Cameroon,,0,0,,Medium/ High,Right
S. Morsy,26,Egypt,Wigan Athletic,1100,22,2100.0,Medium/ Medium,Right
T. Antonis,24,Australia,Melbourne Victory,1200,4,1600.0,Medium/ Medium,Right
M. Duffy,23,Northern Ireland,Dundalk,1400,2,2500.0,Medium/ Medium,Right
A. Ndour,24,Senegal,RC Strasbourg Alsace,1100,7,2200.0,Medium/ Medium,Left
Rafael Costa,27,Brazil,Boavista FC,1200,4,2600.0,Medium/ Low,Left
K. Walker-Peters,21,United Kingdom,Tottenham Hotspur,1600,21,3200.0,High/ Medium,Right
C. Luna,36,Argentina,Club Atlético Tigre,375,6,563.0,Medium/ Medium,Right
J. Bidwell,25,United Kingdom,Queens Park Rangers,1100,5,2100.0,High/ Medium,Left
F. Noguera,25,Argentina,Estudiantes de La Plata,1200,7,1900.0,Medium/ Medium,Right
T. Weah,18,United States of America,Paris Saint-Germain,2200,16,5400.0,High/ Medium,Right
J. Paganoni,29,Mexico,Tiburones Rojos de Veracruz,800,4,1300.0,Medium/ Medium,Right
A. Collin,32,France,New York Red Bulls,600,4,900.0,Low/ High,Right
Ripa,32,Spain,CD Numancia,575,5,920.0,High/ Medium,Left
Galán,32,Spain,CF Rayo Majadahonda,575,4,891.0,Medium/ Medium,Right
M. Bolados,22,Chile,Universidad Católica,1500,4,,High/ Medium,Right
Sandro Maceira,26,Brazil,Atlético Paranaense,1100,7,2100.0,High/ Medium,Right
R. Ibarra,23,Ecuador,Minnesota United FC,1400,4,2200.0,High/ Low,Right
N. Al Shamrani,34,Saudi Arabia,Al Shabab,550,17,908.0,High/ Medium,Right
R. Holmes,31,United Kingdom,Oxford United,925,7,,Medium/ Medium,Right
J. Cordoval,28,France,ESTAC Troyes,825,5,1500.0,Medium/ Medium,Right
M. Radović,34,Republic of Serbia,Legia Warszawa,525,5,735.0,Medium/ Low,Right
G. Zigoni,27,Italy,Venezia FC,1200,3,2000.0,High/ Low,Right
J. Corona,27,United States of America,Club América,1100,10,,Medium/ Medium,Right
W. Bruin,28,United States of America,Seattle Sounders FC,1100,5,1600.0,High/ Medium,Right
J. Glad,21,United States of America,Real Salt Lake,1300,3,2300.0,Medium/ High,Right
D. Gordon,33,Jamaica,Karlsruher SC,425,4,616.0,Medium/ Medium,Right
P. Rodríguez,28,Argentina,Moreirense FC,1100,4,2200.0,Medium/ Medium,Right
E. Konsa,20,United Kingdom,Brentford,1600,13,3400.0,Medium/ High,Right
O. Darfalou,24,Algeria,Vitesse,1400,7,2200.0,Medium/ Medium,Right
L. Murphy,28,United Kingdom,Bolton Wanderers,1000,6,2000.0,Medium/ Medium,Right
Chuli,27,Spain,Extremadura UD,1200,11,,High/ Low,Left
D. Suzuki,28,Japan,Kashiwa Reysol,850,5,1100.0,Medium/ Medium,Right
A. Gholizadeh,22,Iran,Sporting de Charleroi,1500,6,2500.0,Medium/ Medium,Left
I. Ouali,30,Algeria,KV Kortrijk,1000,8,1500.0,High/ Low,Left
B. Holman,34,Australia,Brisbane Roar,525,4,656.0,High/ Medium,Right
J. Gyamerah,23,Germany,VfL Bochum 1848,1300,7,2400.0,Medium/ Medium,Right
Cai Huikang,28,China,Shanghai SIPG FC,850,8,1900.0,Low/ High,Right
M. Pittón,23,Argentina,Unión de Santa Fe,1400,6,2200.0,Medium/ Medium,Right
T. Kuszczak,36,Poland,Birmingham City,140,6,266.0,Medium/ Medium,Right
L. Blessing,21,Ghana,Los Angeles FC,1700,4,2900.0,High/ Medium,Right
D. Meyler,29,Republic of Ireland,Reading,825,15,1600.0,Medium/ High,Right
J. Czerwiński,26,Poland,Piast Gliwice,1000,4,1500.0,Medium/ High,Right
R. Vilchis,28,Mexico,Monarcas Morelia,1100,6,1800.0,Medium/ Medium,Right
G. Valsvik,25,Norway,Eintracht Braunschweig,1100,3,1700.0,Medium/ High,Left
A. Giannou,28,Australia,,0,0,,High/ Medium,Right
J. Hobbs,29,United Kingdom,Bolton Wanderers,825,6,1600.0,Medium/ High,Right
R. Gíslason,30,Iceland,SV Sandhausen,1000,4,1600.0,Medium/ Medium,Right
C. M'Bengue,29,Senegal,AS Saint-Étienne,800,13,1500.0,Low/ Medium,Left
I. Jiménez,28,Mexico,Tigres U.A.N.L.,825,22,1300.0,High/ Medium,Right
A. Al Khaibari,32,Saudi Arabia,Al Hilal,600,15,1000.0,Medium/ High,Right
S. Yatabaré,29,Mali,Royal Antwerp FC,1000,7,1500.0,High/ High,Right
J. Lowe,26,United Kingdom,Bolton Wanderers,1100,5,2100.0,Low/ High,Right
E. Jelenič,25,Slovenia,Carpi,1200,2,2000.0,Medium/ Low,Right
M. Abero,28,Uruguay,Atlético Tucumán,825,6,1200.0,Medium/ High,Left
A. Teikeu,28,Cameroon,Ohod Club,1000,10,1700.0,Medium/ Medium,Left
E. Castillo,31,United States of America,Colorado Rapids,700,18,,High/ Medium,Left
M. Wagué,19,Senegal,FC Barcelona,1600,20,3600.0,High/ Medium,Right
P. Klandt,34,Germany,1. FC Nürnberg,425,8,765.0,Medium/ Medium,Right
Farley,24,Brazil,Ettifaq FC,1400,12,2400.0,Medium/ Low,Right
Luís Martins,26,Portugal,GD Chaves,1000,5,2200.0,High/ Medium,Left
S. Riether,35,Germany,FC Schalke 04,230,9,391.0,Medium/ Medium,Right
L. Diarte,25,Argentina,San Martin de Tucumán,1200,5,1800.0,Medium/ Medium,Left
G. Bojanich,33,Argentina,Argentinos Juniors,425,6,616.0,Low/ High,Right
B. Mansilla,21,Argentina,Racing Club,2300,7,4900.0,Medium/ Low,Left
Fran Villalba,20,Spain,CD Numancia,1700,11,,Medium/ Medium,Right
L. Peltier,31,United Kingdom,Cardiff City,700,19,1400.0,Low/ High,Right
M. Knaller,31,Austria,FC Ingolstadt 04,650,9,1000.0,Medium/ Medium,Right
Baena,29,Spain,Melbourne Victory,825,5,,Medium/ Medium,Right
P. Ziegler,28,Germany,Western Sydney Wanderers,850,5,1100.0,Medium/ High,Right
S. Wangberg,27,Norway,Tromsø IL,1100,3,1400.0,Medium/ High,Right
N. Thomsen,25,Denmark,FC København,1300,9,1800.0,High/ High,Right
D. Boer,37,Netherlands,PEC Zwolle,70,3,102.0,Medium/ Medium,Right
D. Hernández,25,Colombia,San Lorenzo de Almagro,1200,9,2000.0,High/ Low,Left
A. Šporar,24,Slovenia,,0,0,,Medium/ Low,Right
J. Jantscher,29,Austria,SK Sturm Graz,1000,11,1500.0,Medium/ Medium,Right
E. Huws,24,United Kingdom,Ipswich Town,1400,5,2700.0,High/ Medium,Left
U. Matić,28,Republic of Serbia,FK Austria Wien,1000,10,,High/ High,Left
A. Ashraf,27,Egypt,,0,0,,Medium/ Medium,Left
W. Bakhashwain,28,Saudi Arabia,Al Wehda,850,11,1400.0,Medium/ Medium,Right
H. Aiesh,23,Sweden,Östersunds FK,1400,3,1900.0,Medium/ High,Right
S. Prevljak,23,Bosnia Herzegovina,FC Red Bull Salzburg,1600,15,2700.0,Medium/ Medium,Right
A. Aldrete,30,Mexico,Cruz Azul,750,11,1300.0,Medium/ Medium,Left
L. De Bock,25,Belgium,KV Oostende,1100,17,,Medium/ High,Left
J. Hunt,27,United Kingdom,Bristol City,875,18,1700.0,High/ Medium,Right
L. Ceballos,31,Argentina,Patronato,700,7,1000.0,High/ Medium,Right
Javi Muñoz,23,Spain,Real Oviedo,1500,9,,Medium/ Low,Right
Alson Botelho,30,Brazil,Atlético Mineiro,775,14,1500.0,Low/ Medium,Right
O. De Wolf,21,Belgium,Sporting Lokeren,1200,4,2000.0,Medium/ Medium,Left
J. Arp,18,Germany,Hamburger SV,2200,4,4900.0,Medium/ Medium,Right
J. Ardaiz,19,Uruguay,Frosinone,2000,5,4800.0,Medium/ Medium,Left
L. Moult,26,United Kingdom,Preston North End,1300,8,2600.0,Medium/ Medium,Right
Arthur Caike,26,Brazil,Al Shabab,1200,15,2100.0,High/ Low,Right
I. Rivas,30,Colombia,Junior FC,975,2,1400.0,High/ Medium,Right
N. Onuoha,31,United Kingdom,Real Salt Lake,700,4,1100.0,Medium/ Medium,Right
Mika,27,Portugal,Os Belenenses,875,3,1900.0,Medium/ Medium,Left
V. Klonaridis,25,Belgium,AEK Athens,1200,1,2800.0,High/ Medium,Right
C. Stanković,25,Austria,FC Red Bull Salzburg,1000,11,1600.0,Medium/ Medium,Right
M. Gómez,24,Colombia,Rionegro Águilas,1400,2,,Medium/ Medium,Left
L. Klünter,22,Germany,Hertha BSC,1400,10,2600.0,Medium/ Medium,Right
A. Farrell,26,United States of America,New England Revolution,1000,4,1500.0,Medium/ Medium,Right
G. Tutino,21,Italy,Cosenza,1800,20,,High/ Low,Right
E. Kouassi,20,Ivory Coast,Celtic,1300,15,2700.0,Medium/ High,Right
I. Cardona,20,France,KSV Cercle Brugge,1700,21,,High/ High,Right
G. Bruno,26,Belgium,KSV Cercle Brugge,1300,8,1900.0,Medium/ Medium,Right
D. Accam,27,Ghana,Philadelphia Union,1100,5,1700.0,Medium/ Low,Right
Pablo Valcarce,25,Spain,RCD Mallorca,1300,5,2100.0,Medium/ Medium,Left
Filipe Ferreira,27,Portugal,SK Sturm Graz,875,9,1300.0,High/ Medium,Left
E. Triverio,29,Argentina,Deportivo Toluca,1100,13,1800.0,High/ Medium,Right
Wellington,25,Brazil,Portimonense SC,1200,5,2700.0,High/ Medium,Right
